,stn,year,mo,da,temp,max,min
0,943670,1970,8,12,68.1,79.9,58.1
1,943670,1970,8,16,63.3,70.9,55.2
2,943670,1970,8,19,59.0,66.9,48.4
3,943670,1970,8,23,70.2,73.8,65.1
4,943670,1970,8,26,68.4,74.7,60.6
5,943670,1970,8,30,67.2,75.9,57.7
6,943670,1970,9,2,63.3,72.7,51.6
7,943670,1970,8,6,62.6,68.4,54.7
8,943670,1970,8,10,66.5,70.2,61.2
9,943670,1970,8,11,68.0,72.3,63.1
10,943670,1970,8,13,59.4,66.4,48.6
11,943670,1970,8,14,62.6,69.3,53.1
12,943670,1970,8,15,63.4,69.6,54.1
13,943670,1970,8,17,64.8,71.8,57.0
14,943670,1970,8,18,60.2,68.7,46.9
15,943670,1970,8,20,62.1,70.9,51.6
16,943670,1970,8,21,63.6,72.0,52.3
17,943670,1970,8,22,65.2,71.1,56.8
18,943670,1970,8,24,70.9,78.1,63.0
19,943670,1970,8,25,72.3,79.7,64.0
20,943670,1970,8,27,73.5,78.3,70.0
21,943670,1970,8,28,75.3,80.4,70.0
22,943670,1970,8,29,73.6,80.6,67.5
23,943670,1970,8,31,64.9,72.0,55.9
24,943670,1970,9,1,64.3,72.9,51.6
25,943670,1970,10,17,75.1,77.9,72.0
26,943670,1970,1,1,80.5,86.2,74.1
27,943670,1970,1,2,78.0,84.7,68.0
28,943670,1970,1,3,79.3,86.4,68.5
29,943670,1970,1,4,79.7,87.4,71.1
30,943670,1970,1,5,79.8,86.4,69.4
31,943670,1970,1,6,81.7,87.6,73.9
32,943670,1970,1,7,83.3,88.0,80.2
33,943670,1970,1,8,82.2,87.4,75.2
34,943670,1970,1,9,82.7,86.5,79.9
35,943670,1970,1,10,80.9,86.2,73.2
36,943670,1970,1,11,80.5,85.3,73.0
37,943670,1970,1,12,81.5,88.0,73.4
38,943670,1970,1,13,83.6,88.2,80.1
39,943670,1970,1,16,82.3,86.2,79.0
40,943670,1970,1,20,80.4,84.0,76.3
41,943670,1970,1,21,80.2,85.8,71.8
42,943670,1970,1,24,81.4,84.9,75.9
43,943670,1970,1,26,82.2,86.4,77.7
44,943670,1970,1,27,81.7,86.7,75.0
45,943670,1970,1,28,79.6,85.3,73.9
46,943670,1970,1,29,76.2,85.3,72.0
47,943670,1970,2,11,76.9,79.7,74.7
48,943670,1970,2,13,79.5,83.7,75.0
49,943670,1970,2,14,80.2,83.8,77.5
50,943670,1970,2,15,77.6,83.7,70.0
51,943670,1970,2,16,80.9,85.3,76.5
52,943670,1970,2,17,82.0,84.6,79.9
53,943670,1970,2,18,81.1,87.1,73.8
54,943670,1970,2,19,79.8,84.9,73.2
55,943670,1970,2,20,79.9,84.9,72.9
56,943670,1970,2,26,79.9,84.9,73.2
57,943670,1970,2,27,80.8,85.6,73.2
58,943670,1970,3,2,79.9,81.9,78.4
59,943670,1970,3,3,79.8,82.9,75.9
60,943670,1970,3,4,80.0,82.9,74.7
61,943670,1970,3,5,78.3,83.5,69.6
62,943670,1970,3,6,77.5,83.5,69.3
63,943670,1970,3,7,79.1,84.4,72.7
64,943670,1970,3,8,81.7,86.7,75.0
65,943670,1970,3,9,81.7,87.1,76.5
66,943670,1970,3,10,81.8,86.2,77.5
67,943670,1970,3,11,81.7,86.0,76.6
68,943670,1970,3,12,81.6,85.1,76.8
69,943670,1970,3,13,83.4,84.9,82.0
70,943670,1970,3,19,79.2,83.8,72.0
71,943670,1970,3,24,78.7,82.8,72.7
72,943670,1970,3,25,81.3,83.5,79.9
73,943670,1970,3,27,80.3,82.0,78.6
74,943670,1970,3,28,77.1,84.2,68.7
75,943670,1970,3,29,78.5,84.2,72.9
76,943670,1970,3,30,72.1,82.6,57.4
77,943670,1970,3,31,71.7,79.7,60.1
78,943670,1970,4,1,72.9,79.3,62.6
79,943670,1970,4,2,74.6,81.0,66.0
80,943670,1970,4,3,77.0,82.8,68.2
81,943670,1970,4,4,77.7,84.0,69.1
82,943670,1970,4,5,76.8,82.9,68.5
83,943670,1970,4,6,76.4,84.4,66.2
84,943670,1970,4,7,76.4,83.5,66.9
85,943670,1970,4,8,79.9,82.6,78.1
86,943670,1970,4,10,76.8,79.9,72.9
87,943670,1970,4,11,78.1,81.1,73.6
88,943670,1970,4,12,79.2,81.5,77.4
89,943670,1970,4,13,77.8,80.2,74.7
90,943670,1970,4,15,76.3,78.8,73.0
91,943670,1970,4,18,75.6,79.3,70.0
92,943670,1970,4,25,77.8,81.9,73.8
93,943670,1970,4,27,72.1,75.6,66.7
94,943670,1970,4,28,66.0,73.2,55.0
95,943670,1970,4,29,70.3,77.7,57.7
96,943670,1970,5,1,73.0,77.2,66.6
97,943670,1970,5,2,71.5,77.0,62.6
98,943670,1970,5,3,73.9,79.9,69.3
99,943670,1970,5,4,65.9,73.6,55.0
100,943670,1970,5,5,69.3,75.9,61.0
101,943670,1970,5,6,71.3,78.8,63.3
102,943670,1970,5,7,67.0,72.9,59.0
103,943670,1970,5,8,60.0,68.0,49.3
104,943670,1970,5,9,65.4,72.1,56.8
105,943670,1970,5,10,68.8,73.9,58.8
106,943670,1970,5,11,69.6,75.0,61.0
107,943670,1970,5,12,69.0,75.7,59.4
108,943670,1970,5,13,69.3,74.7,60.4
109,943670,1970,5,14,69.9,74.5,62.6
110,943670,1970,5,15,70.2,76.8,63.3
111,943670,1970,5,16,70.7,77.5,62.1
112,943670,1970,5,17,68.9,75.0,59.0
113,943670,1970,5,18,67.8,73.2,60.6
114,943670,1970,5,19,62.7,68.7,52.9
115,943670,1970,5,20,63.6,72.5,50.5
116,943670,1970,5,21,64.8,70.9,57.9
117,943670,1970,5,22,64.8,67.5,56.7
118,943670,1970,5,26,67.8,72.3,61.0
119,943670,1970,5,28,70.7,73.0,68.4
120,943670,1970,5,31,70.3,75.0,64.8
121,943670,1970,6,1,65.2,71.1,57.7
122,943670,1970,6,2,68.5,75.0,61.5
123,943670,1970,6,3,72.0,76.8,68.0
124,943670,1970,6,4,63.9,73.8,51.6
125,943670,1970,6,5,64.9,72.3,56.5
126,943670,1970,6,6,66.2,72.7,56.1
127,943670,1970,6,7,66.9,72.0,59.0
128,943670,1970,6,8,70.1,72.0,66.0
129,943670,1970,6,9,69.1,72.5,64.9
130,943670,1970,6,12,66.8,74.3,58.6
131,943670,1970,6,13,65.5,73.2,55.4
132,943670,1970,6,14,65.9,73.0,57.4
133,943670,1970,6,15,65.2,74.5,55.4
134,943670,1970,6,16,67.8,75.0,62.6
135,943670,1970,6,17,58.6,66.0,48.0
136,943670,1970,6,18,58.4,67.5,47.1
137,943670,1970,6,22,66.7,70.2,62.1
138,943670,1970,6,23,63.5,71.4,51.6
139,943670,1970,6,24,63.4,70.0,55.6
140,943670,1970,6,25,66.0,70.2,61.5
141,943670,1970,6,26,66.5,70.3,60.1
142,943670,1970,6,27,65.9,74.1,57.9
143,943670,1970,6,28,63.5,72.0,54.0
144,943670,1970,6,29,60.6,70.0,49.6
145,943670,1970,6,30,61.8,70.2,52.9
146,943670,1970,7,1,64.8,75.0,54.3
147,943670,1970,7,2,64.2,75.0,53.1
148,943670,1970,7,3,61.6,69.6,52.3
149,943670,1970,7,4,59.9,68.9,48.6
150,943670,1970,7,5,58.2,68.0,46.0
151,943670,1970,7,6,64.9,68.7,57.4
152,943670,1970,7,9,63.9,68.7,56.5
153,943670,1970,7,10,62.8,71.1,53.6
