,stn,year,mo,da,temp,max,min
0,722670,1951,8,1,80.6,93.4,69.4
1,722670,1951,9,29,64.6,87.4,52.3
2,722670,1951,1,1,48.8,59.4,41.4
3,722670,1951,1,3,28.3,50.4,11.3
4,722670,1951,1,4,40.4,59.4,25.3
5,722670,1951,1,5,43.9,65.3,28.4
6,722670,1951,1,7,28.4,48.4,16.0
7,722670,1951,1,8,30.8,53.4,14.4
8,722670,1951,1,9,40.5,62.4,25.3
9,722670,1951,1,10,37.0,54.0,20.3
10,722670,1951,1,11,37.6,60.4,25.3
11,722670,1951,1,12,43.1,62.4,28.0
12,722670,1951,1,14,37.4,51.4,28.0
13,722670,1951,1,15,38.1,60.4,22.3
14,722670,1951,1,16,44.1,68.0,22.3
15,722670,1951,1,17,50.9,62.4,34.3
16,722670,1951,1,18,50.6,69.4,32.4
17,722670,1951,1,19,46.8,72.3,25.3
18,722670,1951,1,20,44.1,64.9,25.3
19,722670,1951,1,21,30.1,47.3,16.3
20,722670,1951,1,22,44.3,72.3,30.4
21,722670,1951,1,23,46.3,66.0,31.3
22,722670,1951,1,24,39.9,58.3,26.4
23,722670,1951,1,25,37.5,60.4,21.4
24,722670,1951,1,26,46.9,72.3,26.4
25,722670,1951,1,27,45.9,64.9,22.3
26,722670,1951,1,28,22.0,44.1,9.3
27,722670,1951,1,29,11.0,23.0,3.4
28,722670,1951,1,30,11.9,22.3,6.4
29,722670,1951,1,31,13.1,18.0,3.4
30,722670,1951,2,1,6.1,21.4,-6.7
31,722670,1951,2,2,15.1,43.0,-3.6
32,722670,1951,2,3,38.6,66.4,21.4
33,722670,1951,2,4,42.5,60.1,27.3
34,722670,1951,2,5,52.5,73.4,36.3
35,722670,1951,2,6,52.7,64.9,32.4
36,722670,1951,2,7,38.1,57.0,23.4
37,722670,1951,2,8,45.4,9999.9,23.4
38,722670,1951,2,9,50.4,73.9,32.0
39,722670,1951,2,10,54.7,78.4,38.3
40,722670,1951,2,11,57.0,82.0,33.4
41,722670,1951,2,12,62.3,81.3,45.0
42,722670,1951,2,13,27.9,9999.9,16.3
43,722670,1951,2,14,18.6,25.3,15.1
44,722670,1951,2,15,21.3,44.4,8.4
45,722670,1951,2,16,38.2,62.4,23.4
46,722670,1951,2,17,47.8,63.3,34.3
47,722670,1951,2,21,43.4,59.4,25.3
48,722670,1951,2,22,48.0,65.3,33.1
49,722670,1951,2,26,46.9,60.4,34.3
50,722670,1951,2,28,52.0,70.0,39.9
51,722670,1951,3,1,47.9,69.4,31.3
52,722670,1951,3,3,49.3,64.9,34.0
53,722670,1951,3,4,47.3,66.4,27.3
54,722670,1951,3,5,52.1,74.3,32.4
55,722670,1951,3,6,61.6,78.4,46.4
56,722670,1951,3,7,61.4,76.3,46.0
57,722670,1951,3,8,56.0,72.0,35.4
58,722670,1951,3,12,30.9,45.3,21.0
59,722670,1951,3,13,34.3,54.3,20.3
60,722670,1951,3,14,41.3,58.3,27.3
61,722670,1951,3,15,48.2,70.3,33.4
62,722670,1951,3,16,52.3,72.3,32.4
63,722670,1951,3,17,49.8,70.0,31.3
64,722670,1951,3,18,33.1,42.4,25.0
65,722670,1951,3,19,36.2,56.3,22.3
66,722670,1951,3,20,45.6,66.4,29.3
67,722670,1951,3,21,47.1,73.4,27.3
68,722670,1951,3,22,59.0,82.4,37.4
69,722670,1951,3,23,58.2,75.9,43.3
70,722670,1951,3,24,47.5,63.3,36.3
71,722670,1951,3,25,50.6,67.3,37.0
72,722670,1951,3,29,39.0,54.3,28.4
73,722670,1951,3,30,48.5,73.4,31.3
74,722670,1951,3,31,60.5,75.4,45.3
75,722670,1951,4,1,50.0,71.1,35.4
76,722670,1951,4,2,46.0,65.3,30.4
77,722670,1951,4,3,54.5,77.4,37.0
78,722670,1951,4,6,53.1,70.0,39.9
79,722670,1951,4,7,49.3,64.4,37.0
80,722670,1951,4,8,50.6,69.4,35.4
81,722670,1951,4,10,51.2,66.0,31.3
82,722670,1951,4,11,38.6,55.4,27.3
83,722670,1951,4,12,43.1,56.3,29.3
84,722670,1951,4,13,47.6,73.4,28.4
85,722670,1951,4,14,63.0,84.9,39.4
86,722670,1951,4,15,54.8,82.0,41.4
87,722670,1951,4,16,47.2,63.3,32.4
88,722670,1951,4,17,55.3,80.4,38.3
89,722670,1951,4,18,67.6,83.3,47.3
90,722670,1951,4,19,62.2,80.1,44.1
91,722670,1951,4,21,55.7,77.4,39.0
92,722670,1951,4,22,55.2,75.9,42.1
93,722670,1951,4,23,54.3,79.3,38.3
94,722670,1951,4,24,72.1,91.4,57.9
95,722670,1951,4,25,66.8,89.1,47.3
96,722670,1951,4,28,71.9,88.3,60.1
97,722670,1951,4,29,70.7,84.4,58.3
98,722670,1951,5,2,58.8,77.4,40.3
99,722670,1951,5,3,60.9,83.3,39.4
100,722670,1951,5,4,65.3,86.4,44.4
101,722670,1951,5,5,72.1,95.4,52.3
102,722670,1951,5,6,62.0,9999.9,48.4
103,722670,1951,5,7,51.7,66.4,46.0
104,722670,1951,5,8,62.3,85.3,46.4
105,722670,1951,5,9,72.4,86.4,58.3
106,722670,1951,5,10,62.2,77.0,48.0
107,722670,1951,5,11,64.7,81.3,50.0
108,722670,1951,5,18,60.4,77.4,49.3
109,722670,1951,5,20,74.9,89.4,54.3
110,722670,1951,5,22,66.8,86.0,57.4
111,722670,1951,5,23,62.9,78.4,53.4
112,722670,1951,5,25,68.1,85.3,53.4
113,722670,1951,5,26,73.1,84.9,59.4
114,722670,1951,5,27,77.0,98.4,61.3
115,722670,1951,5,28,81.8,96.4,64.4
116,722670,1951,5,29,84.2,100.4,66.0
117,722670,1951,5,31,81.3,96.4,66.4
118,722670,1951,6,1,80.6,93.4,70.3
119,722670,1951,6,2,71.8,91.0,54.3
120,722670,1951,6,4,62.0,72.3,55.4
121,722670,1951,6,5,66.5,76.3,55.4
122,722670,1951,6,7,76.6,92.3,63.3
123,722670,1951,6,8,77.4,92.3,62.4
124,722670,1951,6,9,73.2,90.3,53.4
125,722670,1951,6,15,72.3,85.3,54.3
126,722670,1951,6,17,78.8,93.4,66.4
127,722670,1951,6,20,85.1,102.4,68.4
128,722670,1951,6,22,83.9,100.4,69.4
129,722670,1951,6,23,87.5,102.4,73.9
130,722670,1951,6,24,81.7,97.0,71.1
131,722670,1951,6,26,81.8,97.3,66.4
132,722670,1951,6,27,82.0,98.4,64.4
133,722670,1951,6,28,83.3,97.3,69.4
134,722670,1951,6,29,86.2,104.4,70.0
135,722670,1951,6,30,76.5,100.9,63.3
136,722670,1951,7,3,82.7,100.4,70.3
