,stn,year,mo,da,temp,max,min
0,912180,1963,8,25,79.0,84.0,75.0
1,912180,1963,10,14,79.9,84.0,77.9
2,912180,1963,4,29,74.6,75.9,72.0
3,912180,1963,8,12,78.2,82.0,73.9
4,912180,1963,9,17,79.5,84.0,75.9
5,912180,1963,9,18,78.6,82.0,77.0
6,912180,1963,9,30,79.2,84.9,75.9
7,912180,1963,10,10,76.6,81.0,73.9
8,912180,1963,10,12,75.5,79.0,73.9
9,912180,1963,8,15,80.5,84.0,77.9
10,912180,1963,8,16,81.0,84.9,79.0
11,912180,1963,8,21,78.5,82.9,75.0
12,912180,1963,8,22,80.0,84.0,75.9
13,912180,1963,8,24,80.6,84.0,77.0
14,912180,1963,9,5,79.7,84.9,77.0
15,912180,1963,9,14,80.6,84.9,75.9
16,912180,1963,9,21,80.6,82.9,77.0
17,912180,1963,9,24,79.9,82.0,77.9
18,912180,1963,10,7,78.9,82.9,73.9
19,912180,1963,10,15,80.8,86.0,77.9
20,912180,1963,10,18,79.2,84.9,75.0
21,912180,1963,10,21,79.8,84.0,75.9
22,912180,1963,10,23,78.2,82.9,73.9
23,912180,1963,10,25,78.0,82.9,73.9
24,912180,1963,10,26,79.3,84.0,73.9
25,912180,1963,10,27,78.1,84.0,73.0
26,912180,1963,10,30,78.9,82.9,75.9
27,912180,1963,10,31,79.0,84.0,75.0
28,912180,1963,11,1,79.2,82.9,75.9
29,912180,1963,11,4,79.5,82.0,77.9
30,912180,1963,11,15,79.9,84.0,77.0
31,912180,1963,11,17,80.3,82.9,77.9
32,912180,1963,11,18,80.4,82.9,77.0
33,912180,1963,11,19,80.8,86.0,77.9
34,912180,1963,11,21,79.6,84.0,75.9
35,912180,1963,11,25,79.8,82.9,77.9
36,912180,1963,11,27,79.3,82.9,77.0
37,912180,1963,12,8,79.1,84.0,77.0
38,912180,1963,12,11,79.3,82.0,77.9
39,912180,1963,12,12,79.5,82.9,77.0
40,912180,1963,12,13,79.8,84.0,77.0
41,912180,1963,12,16,78.4,82.9,75.9
42,912180,1963,12,17,79.1,82.9,77.0
43,912180,1963,12,18,78.3,82.9,73.9
44,912180,1963,12,21,77.8,82.0,75.0
45,912180,1963,12,22,78.8,82.0,75.9
46,912180,1963,12,26,79.9,82.9,77.9
47,912180,1963,12,27,79.0,82.0,75.9
48,912180,1963,8,13,77.6,81.0,73.9
49,912180,1963,8,14,79.5,82.9,77.0
50,912180,1963,8,17,80.4,84.0,77.9
51,912180,1963,8,18,80.0,82.9,75.9
52,912180,1963,8,19,79.7,84.0,75.0
53,912180,1963,8,20,79.8,84.0,75.9
54,912180,1963,8,23,79.5,82.9,75.9
55,912180,1963,8,26,79.9,84.9,77.0
56,912180,1963,8,27,81.3,84.0,79.0
57,912180,1963,8,28,80.7,86.0,75.9
58,912180,1963,8,29,81.0,84.9,77.9
59,912180,1963,8,30,79.3,82.9,75.0
60,912180,1963,8,31,81.0,86.0,79.0
61,912180,1963,9,1,79.7,86.0,75.0
62,912180,1963,9,2,76.4,84.0,73.9
63,912180,1963,9,3,77.0,82.0,75.0
64,912180,1963,9,4,78.7,88.0,73.0
65,912180,1963,9,6,80.0,84.9,77.9
66,912180,1963,9,7,79.4,84.0,75.0
67,912180,1963,9,8,80.2,84.9,77.0
68,912180,1963,9,9,75.6,79.0,70.9
69,912180,1963,9,10,78.9,81.0,77.0
70,912180,1963,9,11,79.4,84.0,73.0
71,912180,1963,9,12,80.9,84.9,79.0
72,912180,1963,9,13,79.5,84.9,75.0
73,912180,1963,9,15,80.2,82.9,77.0
74,912180,1963,9,16,79.6,84.0,75.0
75,912180,1963,9,19,80.0,82.9,77.0
76,912180,1963,9,20,80.2,84.0,77.0
77,912180,1963,9,22,80.9,88.0,77.9
78,912180,1963,9,23,76.4,82.9,73.0
79,912180,1963,9,25,79.6,84.9,73.9
80,912180,1963,9,26,79.6,82.9,77.0
81,912180,1963,9,27,79.4,82.9,75.9
82,912180,1963,9,28,79.2,82.9,75.9
83,912180,1963,9,29,79.7,84.0,75.0
84,912180,1963,10,2,78.0,82.0,75.0
85,912180,1963,10,3,77.8,86.0,73.9
86,912180,1963,10,4,76.8,82.0,73.9
87,912180,1963,10,5,77.2,79.9,75.0
88,912180,1963,10,6,79.7,84.0,75.9
89,912180,1963,10,8,78.6,84.0,73.0
90,912180,1963,10,9,77.8,82.0,73.9
91,912180,1963,10,11,75.3,79.0,73.0
92,912180,1963,10,16,80.2,86.0,77.9
93,912180,1963,10,17,79.6,84.9,75.0
94,912180,1963,10,19,79.2,84.0,75.9
95,912180,1963,10,20,78.2,82.9,75.0
96,912180,1963,10,22,78.8,82.9,75.0
97,912180,1963,10,24,78.3,82.9,73.9
98,912180,1963,10,28,78.8,84.0,75.0
99,912180,1963,10,29,77.3,82.0,73.0
100,912180,1963,11,2,78.3,86.9,73.0
101,912180,1963,11,3,79.8,82.9,77.0
102,912180,1963,11,5,79.2,82.0,75.9
103,912180,1963,11,6,79.1,82.9,75.9
104,912180,1963,11,7,78.2,82.9,75.0
105,912180,1963,11,8,77.9,82.0,73.9
106,912180,1963,11,9,77.6,81.0,73.9
107,912180,1963,11,10,80.2,84.0,79.0
108,912180,1963,11,11,77.6,81.0,75.0
109,912180,1963,11,12,77.5,81.0,75.0
110,912180,1963,11,13,79.5,82.9,75.9
111,912180,1963,11,14,79.2,82.0,75.0
112,912180,1963,11,16,80.0,82.9,77.9
113,912180,1963,11,20,79.9,82.9,77.9
114,912180,1963,11,22,80.0,82.9,77.0
115,912180,1963,11,23,79.7,82.9,77.0
116,912180,1963,11,24,79.2,82.9,75.9
117,912180,1963,11,26,79.4,82.0,75.9
118,912180,1963,11,28,78.6,82.9,75.0
119,912180,1963,11,29,78.8,82.0,75.9
120,912180,1963,11,30,76.5,81.0,73.0
121,912180,1963,12,1,77.2,79.0,75.0
122,912180,1963,12,2,77.6,81.0,75.0
123,912180,1963,12,3,77.5,82.0,73.0
124,912180,1963,12,4,77.0,79.9,73.0
125,912180,1963,12,5,78.2,81.0,77.0
126,912180,1963,12,6,79.0,82.0,75.9
127,912180,1963,12,7,79.0,82.9,73.9
128,912180,1963,12,9,78.5,84.0,75.0
129,912180,1963,12,10,79.1,82.0,77.9
130,912180,1963,12,14,78.8,82.0,75.9
131,912180,1963,12,15,77.6,82.0,73.0
132,912180,1963,12,19,77.8,82.9,75.0
133,912180,1963,12,20,77.7,82.0,73.0
134,912180,1963,12,23,78.4,82.9,75.9
135,912180,1963,12,28,76.9,82.0,70.9
136,912180,1963,12,29,78.1,82.0,75.0
137,912180,1963,12,30,77.5,81.0,73.9
138,912180,1963,12,31,78.7,82.0,77.0
139,912180,1963,10,1,78.4,84.0,75.9
140,912180,1963,1,3,76.6,79.9,73.9
141,912180,1963,1,6,77.3,81.0,73.9
142,912180,1963,1,7,76.2,81.0,72.0
143,912180,1963,1,8,75.8,79.9,73.0
144,912180,1963,1,10,77.2,81.0,73.9
145,912180,1963,1,13,74.9,82.9,66.0
146,912180,1963,1,14,77.7,82.0,75.0
147,912180,1963,1,19,76.6,79.9,70.0
148,912180,1963,1,20,77.4,82.0,75.0
149,912180,1963,1,23,77.9,82.0,75.9
150,912180,1963,1,24,77.4,82.0,75.0
151,912180,1963,2,6,76.6,81.0,73.9
152,912180,1963,2,10,77.6,82.0,75.0
153,912180,1963,2,11,77.1,81.0,73.9
154,912180,1963,2,16,76.4,79.9,75.0
155,912180,1963,2,17,77.8,81.0,75.9
156,912180,1963,2,24,77.8,81.0,75.9
157,912180,1963,2,25,77.0,79.9,73.9
158,912180,1963,2,26,78.1,82.0,75.9
159,912180,1963,2,27,78.1,81.0,75.0
160,912180,1963,3,2,77.7,82.0,75.0
161,912180,1963,3,3,78.0,82.0,75.9
162,912180,1963,3,7,78.3,82.9,75.0
163,912180,1963,3,8,77.7,82.0,75.9
164,912180,1963,3,11,77.5,81.0,72.0
165,912180,1963,3,12,78.0,81.0,75.9
166,912180,1963,3,13,77.4,82.0,68.9
167,912180,1963,3,14,77.7,82.0,75.0
168,912180,1963,3,16,77.7,82.0,75.9
169,912180,1963,3,18,78.4,82.0,75.0
170,912180,1963,3,23,76.9,81.0,75.0
171,912180,1963,3,24,76.3,81.0,73.0
172,912180,1963,3,25,77.3,82.0,73.9
173,912180,1963,3,26,76.8,81.0,73.0
174,912180,1963,3,28,77.8,82.0,75.0
175,912180,1963,3,29,78.4,82.9,75.9
176,912180,1963,4,3,78.2,81.0,75.9
177,912180,1963,4,8,77.0,81.0,73.0
178,912180,1963,4,10,78.3,82.0,75.9
179,912180,1963,4,17,79.6,82.9,77.0
180,912180,1963,4,18,79.0,82.9,75.9
181,912180,1963,4,19,80.8,84.0,77.9
182,912180,1963,4,21,81.7,84.9,79.9
183,912180,1963,4,22,79.6,86.0,75.9
184,912180,1963,4,23,79.4,84.0,77.0
185,912180,1963,4,24,79.2,82.9,77.0
186,912180,1963,5,5,78.4,81.0,77.0
187,912180,1963,5,6,78.7,82.0,75.9
188,912180,1963,5,7,78.1,82.0,75.0
189,912180,1963,5,8,78.5,82.0,75.9
190,912180,1963,5,9,78.2,82.0,75.9
191,912180,1963,5,10,79.8,84.0,77.9
192,912180,1963,5,14,79.4,84.0,77.0
193,912180,1963,5,15,79.8,82.9,77.9
194,912180,1963,5,18,79.0,82.9,75.9
195,912180,1963,5,20,78.4,82.0,73.0
196,912180,1963,5,30,78.8,82.0,77.0
197,912180,1963,6,7,78.8,82.9,75.9
198,912180,1963,6,10,79.5,82.9,75.9
199,912180,1963,6,12,78.5,82.9,73.9
200,912180,1963,6,13,79.1,82.0,77.0
201,912180,1963,6,14,79.8,82.9,77.0
202,912180,1963,6,21,79.9,84.0,77.0
203,912180,1963,6,23,79.9,84.0,75.9
204,912180,1963,6,24,80.3,84.9,77.9
205,912180,1963,6,25,80.4,84.0,77.9
206,912180,1963,6,26,79.9,82.0,77.9
207,912180,1963,7,4,79.9,82.9,77.9
208,912180,1963,7,5,80.5,84.0,77.0
209,912180,1963,7,7,79.9,82.9,77.0
210,912180,1963,7,8,77.0,82.0,73.0
211,912180,1963,7,21,78.9,81.0,77.0
212,912180,1963,7,22,79.3,82.9,77.0
213,912180,1963,7,25,79.6,82.9,77.9
214,912180,1963,8,2,78.9,84.0,75.0
215,912180,1963,8,4,80.7,84.0,79.0
216,912180,1963,8,6,80.0,84.0,77.0
217,912180,1963,1,1,77.6,81.0,75.9
218,912180,1963,1,2,76.6,79.0,75.0
219,912180,1963,1,4,73.3,79.0,68.0
220,912180,1963,1,5,77.2,79.9,73.9
221,912180,1963,1,9,75.7,79.9,73.0
222,912180,1963,1,11,77.4,81.0,75.0
223,912180,1963,1,12,76.7,81.0,73.0
224,912180,1963,1,15,77.9,82.0,73.9
225,912180,1963,1,16,75.3,79.0,73.9
226,912180,1963,1,17,78.1,81.0,73.9
227,912180,1963,1,18,77.3,79.0,73.9
228,912180,1963,1,21,76.3,79.9,73.0
229,912180,1963,1,22,77.7,81.0,75.9
230,912180,1963,1,25,77.1,82.0,73.0
