,stn,year,mo,da,temp,max,min
0,916800,1960,4,26,74.9,85.3,67.3
1,916800,1960,5,27,76.9,83.3,71.2
2,916800,1960,2,16,81.0,90.3,74.3
3,916800,1960,10,7,78.4,88.3,72.3
4,916800,1960,1,5,81.2,87.3,73.4
5,916800,1960,1,7,81.4,90.3,73.4
6,916800,1960,1,10,80.1,88.3,74.3
7,916800,1960,1,11,78.9,87.3,70.3
8,916800,1960,1,12,80.2,88.3,72.3
9,916800,1960,1,13,81.0,89.2,74.3
10,916800,1960,1,16,80.5,88.3,74.3
11,916800,1960,1,17,78.8,86.4,70.3
12,916800,1960,2,11,79.4,87.3,71.2
13,916800,1960,2,13,78.6,86.4,71.2
14,916800,1960,3,5,78.2,86.4,72.3
15,916800,1960,3,11,80.6,87.3,73.4
16,916800,1960,3,14,80.5,88.3,73.4
17,916800,1960,3,17,80.2,89.2,71.2
18,916800,1960,3,18,79.1,86.4,70.3
19,916800,1960,3,19,80.3,89.2,72.3
20,916800,1960,3,27,80.0,86.4,75.4
21,916800,1960,4,19,79.2,86.4,72.3
22,916800,1960,4,20,77.9,88.3,69.3
23,916800,1960,4,21,75.9,86.4,66.4
24,916800,1960,4,22,75.6,86.4,65.3
25,916800,1960,4,23,75.7,87.3,67.3
26,916800,1960,4,24,78.2,87.3,71.2
27,916800,1960,4,27,74.6,84.4,67.3
28,916800,1960,4,29,76.6,86.4,70.3
29,916800,1960,5,1,76.4,86.4,69.3
30,916800,1960,5,2,74.5,86.4,65.3
31,916800,1960,5,3,72.5,84.4,63.3
32,916800,1960,5,4,74.1,84.4,65.3
33,916800,1960,5,5,77.8,84.4,72.3
34,916800,1960,5,9,78.2,84.4,70.3
35,916800,1960,5,10,77.7,86.4,69.3
36,916800,1960,5,11,77.3,85.3,68.4
37,916800,1960,5,12,76.9,88.3,71.2
38,916800,1960,5,13,75.9,84.4,68.4
39,916800,1960,5,14,75.1,87.3,65.3
40,916800,1960,5,15,73.3,86.4,62.4
41,916800,1960,5,16,75.8,88.3,66.4
42,916800,1960,5,18,74.4,85.3,63.3
43,916800,1960,5,19,76.7,89.2,66.4
44,916800,1960,5,20,78.7,88.3,72.3
45,916800,1960,5,23,74.4,84.4,65.3
46,916800,1960,5,24,75.8,85.3,67.3
47,916800,1960,5,26,77.4,85.3,69.3
48,916800,1960,5,29,81.3,89.2,74.3
49,916800,1960,5,31,77.1,85.3,69.3
50,916800,1960,6,1,76.5,87.3,67.3
51,916800,1960,6,2,76.0,86.4,67.3
52,916800,1960,6,3,76.1,85.3,70.3
53,916800,1960,6,4,76.0,86.4,68.4
54,916800,1960,6,5,74.9,82.4,68.4
55,916800,1960,6,6,74.7,83.3,67.3
56,916800,1960,6,7,78.1,89.2,69.3
57,916800,1960,6,8,79.2,89.2,70.3
58,916800,1960,6,9,78.2,86.4,71.2
59,916800,1960,6,10,76.6,85.3,68.4
60,916800,1960,6,11,76.3,87.3,66.4
61,916800,1960,6,12,77.5,90.3,68.4
62,916800,1960,6,16,69.4,80.2,60.3
63,916800,1960,6,17,69.3,80.2,60.3
64,916800,1960,6,18,73.1,80.2,65.3
65,916800,1960,6,20,73.4,82.4,64.4
66,916800,1960,6,21,74.2,84.4,65.3
67,916800,1960,6,22,75.6,84.4,69.3
68,916800,1960,6,23,74.4,84.4,66.4
69,916800,1960,6,24,73.1,84.4,64.4
70,916800,1960,6,25,73.8,82.4,66.4
71,916800,1960,6,26,75.5,83.3,67.3
72,916800,1960,6,27,76.0,84.4,69.3
73,916800,1960,6,30,72.5,81.3,63.3
74,916800,1960,7,1,68.8,79.3,61.3
75,916800,1960,7,2,67.2,77.4,59.4
76,916800,1960,7,3,69.6,80.2,62.4
77,916800,1960,7,4,68.9,80.2,57.4
78,916800,1960,7,5,70.4,80.2,60.3
79,916800,1960,7,6,74.4,81.3,67.3
80,916800,1960,7,7,73.8,84.4,65.3
81,916800,1960,7,8,73.1,81.3,69.3
82,916800,1960,7,9,73.8,81.3,67.3
83,916800,1960,7,10,72.6,81.3,66.4
84,916800,1960,7,11,74.0,81.3,69.3
85,916800,1960,7,12,72.3,80.2,66.4
86,916800,1960,7,13,72.3,80.2,65.3
87,916800,1960,7,14,70.9,82.4,63.3
88,916800,1960,7,15,73.3,83.3,63.3
89,916800,1960,7,16,75.8,85.3,67.3
90,916800,1960,7,17,76.6,83.3,68.4
91,916800,1960,7,18,74.3,83.3,65.3
92,916800,1960,7,19,73.9,84.4,64.4
93,916800,1960,7,20,74.7,85.3,66.4
94,916800,1960,7,21,73.5,85.3,63.3
95,916800,1960,7,22,74.5,82.4,68.4
96,916800,1960,7,23,74.3,82.4,66.4
97,916800,1960,7,30,70.5,78.3,64.4
98,916800,1960,7,31,67.8,79.3,57.4
99,916800,1960,8,1,65.3,80.2,53.4
100,916800,1960,8,2,66.7,79.3,54.3
101,916800,1960,8,3,67.5,79.3,57.4
102,916800,1960,8,4,69.9,80.2,60.3
103,916800,1960,8,5,75.1,82.4,68.4
104,916800,1960,8,6,73.9,82.4,66.4
105,916800,1960,8,8,81.5,89.2,77.4
106,916800,1960,8,9,76.4,85.3,68.4
107,916800,1960,8,11,76.7,88.3,68.4
108,916800,1960,8,12,74.9,83.3,64.4
109,916800,1960,8,13,73.8,82.4,66.4
110,916800,1960,8,15,75.4,84.4,66.4
111,916800,1960,8,16,73.8,81.3,66.4
112,916800,1960,8,18,75.4,82.4,69.3
113,916800,1960,8,20,75.9,85.3,68.4
114,916800,1960,8,21,74.1,83.3,67.3
115,916800,1960,8,23,72.3,82.4,65.3
116,916800,1960,8,24,70.8,80.2,62.4
117,916800,1960,8,25,72.4,82.4,63.3
118,916800,1960,8,26,72.2,84.4,63.3
119,916800,1960,8,27,75.2,86.4,66.4
120,916800,1960,8,28,76.3,86.4,69.3
121,916800,1960,8,29,74.8,84.4,66.4
122,916800,1960,8,30,74.4,87.3,65.3
123,916800,1960,8,31,71.8,80.2,63.3
124,916800,1960,9,1,74.5,83.3,66.4
125,916800,1960,9,2,75.0,83.3,67.3
126,916800,1960,9,3,76.1,84.4,67.3
127,916800,1960,9,6,74.9,84.4,63.3
128,916800,1960,9,7,75.7,87.3,67.3
129,916800,1960,9,8,78.4,88.3,72.3
130,916800,1960,9,9,75.6,84.4,66.4
131,916800,1960,9,10,77.1,83.3,68.4
132,916800,1960,9,11,75.1,83.3,66.4
133,916800,1960,9,12,75.8,84.4,66.4
134,916800,1960,9,13,76.3,86.4,66.4
135,916800,1960,9,14,77.7,83.3,71.2
136,916800,1960,9,16,79.8,88.3,72.3
137,916800,1960,9,17,80.5,89.2,72.3
138,916800,1960,9,18,77.4,86.4,69.3
139,916800,1960,9,19,78.4,86.4,69.3
140,916800,1960,9,20,78.2,90.3,68.4
141,916800,1960,9,21,79.3,92.3,68.4
142,916800,1960,9,25,72.8,84.4,62.4
143,916800,1960,9,26,74.6,85.3,67.3
144,916800,1960,9,27,76.2,86.4,68.4
145,916800,1960,9,28,76.9,86.4,70.3
146,916800,1960,9,29,77.7,86.4,71.2
147,916800,1960,10,6,78.0,86.4,71.2
148,916800,1960,10,10,76.9,86.4,70.3
149,916800,1960,10,11,75.3,85.3,68.4
150,916800,1960,10,12,74.8,86.4,65.3
151,916800,1960,10,13,75.9,85.3,66.4
152,916800,1960,10,15,78.1,84.4,72.3
153,916800,1960,10,16,78.4,83.3,71.2
154,916800,1960,10,19,72.0,82.4,60.3
155,916800,1960,10,20,74.1,82.4,67.3
156,916800,1960,10,21,75.4,83.3,66.4
157,916800,1960,10,22,74.5,85.3,65.3
158,916800,1960,10,25,78.9,86.4,73.4
159,916800,1960,10,26,77.2,88.3,67.3
160,916800,1960,10,27,75.7,83.3,69.3
161,916800,1960,10,28,76.4,82.4,68.4
162,916800,1960,10,29,77.3,83.3,68.4
163,916800,1960,10,30,78.8,86.4,71.2
164,916800,1960,11,1,81.2,88.3,76.3
165,916800,1960,11,3,80.5,89.2,72.3
166,916800,1960,11,4,82.8,93.4,74.3
167,916800,1960,11,6,81.4,92.3,73.4
168,916800,1960,11,9,80.4,89.2,74.3
169,916800,1960,11,15,76.7,84.4,68.4
170,916800,1960,11,16,78.5,85.3,70.3
171,916800,1960,11,22,78.3,86.4,72.3
172,916800,1960,11,23,79.0,88.3,71.2
173,916800,1960,11,26,80.0,88.3,73.4
174,916800,1960,12,2,77.0,89.2,67.3
175,916800,1960,12,3,79.1,88.3,70.3
176,916800,1960,12,4,79.8,87.3,71.2
177,916800,1960,12,13,79.1,87.3,71.2
178,916800,1960,12,14,78.1,85.3,72.3
179,916800,1960,12,15,77.7,85.3,70.3
180,916800,1960,12,16,78.1,84.4,69.3
181,916800,1960,12,17,78.8,86.4,71.2
182,916800,1960,12,18,79.6,86.4,72.3
183,916800,1960,12,19,79.1,86.4,70.3
184,916800,1960,12,22,80.4,88.3,74.3
185,916800,1960,12,27,79.4,87.3,73.4
186,916800,1960,12,29,80.0,87.3,72.3
187,916800,1960,12,31,79.9,88.3,72.3
188,916800,1960,1,1,82.7,88.3,77.4
189,916800,1960,1,2,82.5,85.3,78.3
190,916800,1960,1,3,79.6,84.4,74.3
191,916800,1960,1,4,80.2,86.4,72.3
192,916800,1960,1,6,81.0,88.3,74.3
193,916800,1960,1,8,81.0,89.2,74.3
194,916800,1960,1,9,79.3,87.3,74.3
195,916800,1960,1,14,80.3,89.2,74.3
196,916800,1960,1,15,80.6,88.3,75.4
197,916800,1960,1,18,79.3,88.3,72.3
198,916800,1960,1,19,78.7,86.4,69.3
199,916800,1960,1,20,79.2,90.3,72.3
200,916800,1960,1,21,78.7,89.2,71.2
201,916800,1960,1,22,78.9,87.3,74.3
202,916800,1960,1,23,79.9,88.3,72.3
203,916800,1960,1,24,80.6,87.3,73.4
204,916800,1960,1,25,80.3,87.3,72.3
205,916800,1960,1,26,80.3,88.3,71.2
206,916800,1960,1,27,80.8,90.3,72.3
207,916800,1960,1,28,80.4,89.2,74.3
208,916800,1960,1,29,77.8,87.3,74.3
209,916800,1960,1,30,79.4,88.3,71.2
210,916800,1960,1,31,80.9,91.2,74.3
211,916800,1960,2,1,79.4,86.4,75.4
212,916800,1960,2,2,78.2,84.4,75.4
213,916800,1960,2,3,79.0,84.4,73.4
214,916800,1960,2,4,79.5,86.4,74.3
215,916800,1960,2,5,79.9,88.3,73.4
216,916800,1960,2,6,81.1,89.2,74.3
217,916800,1960,2,7,79.8,89.2,73.4
218,916800,1960,2,8,80.4,89.2,72.3
219,916800,1960,2,9,79.5,86.4,72.3
220,916800,1960,2,10,78.5,87.3,72.3
221,916800,1960,2,12,78.0,86.4,70.3
222,916800,1960,2,14,78.4,87.3,71.2
223,916800,1960,2,15,83.2,90.3,76.3
224,916800,1960,2,17,80.3,88.3,73.4
225,916800,1960,2,18,80.8,88.3,73.4
226,916800,1960,2,19,81.2,90.3,72.3
227,916800,1960,2,20,80.7,90.3,74.3
228,916800,1960,2,21,81.2,90.3,75.4
229,916800,1960,2,22,80.8,90.3,72.3
230,916800,1960,2,23,78.0,89.2,74.3
231,916800,1960,2,24,77.8,85.3,75.4
232,916800,1960,2,25,78.3,86.4,75.4
233,916800,1960,2,26,78.4,84.4,73.4
234,916800,1960,2,27,77.8,86.4,74.3
235,916800,1960,2,28,78.8,86.4,74.3
236,916800,1960,2,29,80.4,87.3,74.3
237,916800,1960,3,1,80.8,87.3,75.4
238,916800,1960,3,2,79.5,87.3,72.3
239,916800,1960,3,3,78.7,87.3,74.3
240,916800,1960,3,4,75.2,86.4,72.3
241,916800,1960,3,6,78.8,87.3,73.4
242,916800,1960,3,7,75.9,83.3,72.3
243,916800,1960,3,8,75.9,81.3,73.4
244,916800,1960,3,9,81.3,85.3,75.4
245,916800,1960,3,10,81.9,86.4,77.4
246,916800,1960,3,12,79.6,86.4,73.4
247,916800,1960,3,13,79.6,87.3,72.3
248,916800,1960,3,15,80.0,90.3,72.3
249,916800,1960,3,16,78.8,88.3,72.3
250,916800,1960,3,20,80.2,87.3,72.3
251,916800,1960,3,21,81.1,90.3,74.3
252,916800,1960,3,22,83.7,91.2,75.4
253,916800,1960,3,23,79.1,90.3,75.4
254,916800,1960,3,24,79.9,90.3,73.4
255,916800,1960,3,25,82.4,91.2,75.4
256,916800,1960,3,26,81.2,89.2,74.3
257,916800,1960,3,28,77.0,86.4,73.4
258,916800,1960,3,29,76.3,83.3,73.4
259,916800,1960,3,30,79.2,90.3,74.3
260,916800,1960,3,31,79.1,86.4,74.3
261,916800,1960,4,1,79.2,87.3,74.3
262,916800,1960,4,2,78.3,87.3,74.3
263,916800,1960,4,3,79.3,87.3,73.4
264,916800,1960,4,4,79.7,88.3,74.3
265,916800,1960,4,5,77.4,87.3,73.4
266,916800,1960,4,6,77.8,82.4,74.3
267,916800,1960,4,7,78.8,87.3,74.3
268,916800,1960,4,8,80.9,88.3,75.4
269,916800,1960,4,9,80.0,88.3,73.4
270,916800,1960,4,10,79.6,89.2,72.3
271,916800,1960,4,11,80.0,87.3,75.4
272,916800,1960,4,12,79.3,87.3,72.3
273,916800,1960,4,13,76.7,86.4,73.4
274,916800,1960,4,14,77.7,87.3,72.3
275,916800,1960,4,15,79.0,90.3,73.4
276,916800,1960,4,16,76.4,87.3,71.2
277,916800,1960,4,17,79.0,88.3,72.3
278,916800,1960,4,18,77.8,86.4,70.3
279,916800,1960,4,25,76.7,88.3,68.4
280,916800,1960,4,28,77.1,86.4,71.2
281,916800,1960,4,30,77.3,85.3,70.3
282,916800,1960,5,6,77.8,86.4,71.2
283,916800,1960,5,7,78.1,87.3,70.3
284,916800,1960,5,8,79.7,88.3,73.4
285,916800,1960,5,17,74.2,87.3,64.4
286,916800,1960,5,21,78.1,87.3,71.2
287,916800,1960,5,22,78.2,87.3,71.2
288,916800,1960,5,25,77.2,86.4,70.3
